,Beverage_category,Beverage,Beverage_prep,Calories,Total Fat,Trans Fat,Saturated Fat,Sodium,Total Carbohydrates,Cholesterol,Dietary Fibre,Sugars,Protein,Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine
0,Coffee,Brewed Coffee,Short,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,175.0
1,Coffee,Brewed Coffee,Tall,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,260.0
2,Coffee,Brewed Coffee,Grande,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,330.0
3,Coffee,Brewed Coffee,Venti,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,410.0
4,Classic Espresso Drinks,Caffè Latte,Short Nonfat Milk,70.0,0.1,0.1,0.0,5.0,75.0,10.0,0.0,9.0,6.0,0.1,0.0,0.2,0.0,75.0
5,Classic Espresso Drinks,Caffè Latte,2% Milk,100.0,3.5,2.0,0.1,15.0,85.0,10.0,0.0,9.0,6.0,0.1,0.0,0.2,0.0,75.0
6,Classic Espresso Drinks,Caffè Latte,Soymilk,70.0,2.5,0.4,0.0,0.0,65.0,6.0,1.0,4.0,5.0,0.6,0.0,0.2,0.8,75.0
7,Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100.0,0.2,0.2,0.0,5.0,120.0,15.0,0.0,14.0,10.0,0.15,0.0,0.3,0.0,75.0
8,Classic Espresso Drinks,Caffè Latte,2% Milk,150.0,6.0,3.0,0.2,25.0,135.0,15.0,0.0,14.0,10.0,0.15,0.0,0.3,0.0,75.0
9,Classic Espresso Drinks,Caffè Latte,Soymilk,110.0,4.5,0.5,0.0,0.0,105.0,10.0,1.0,6.0,8.0,0.1,0.0,0.3,0.15,75.0
10,Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130.0,0.3,0.2,0.0,5.0,150.0,19.0,0.0,18.0,13.0,0.2,0.0,0.4,0.0,150.0
11,Classic Espresso Drinks,Caffè Latte,2% Milk,190.0,7.0,3.5,0.2,30.0,170.0,19.0,0.0,17.0,12.0,0.2,0.2,0.4,0.0,150.0
12,Classic Espresso Drinks,Caffè Latte,Soymilk,150.0,5.0,0.5,0.0,0.0,130.0,13.0,1.0,8.0,10.0,0.15,0.0,0.4,0.15,150.0
13,Classic Espresso Drinks,Caffè Latte,Venti Nonfat Milk,170.0,0.4,0.3,0.0,10.0,190.0,25.0,0.0,23.0,16.0,0.3,0.0,0.5,0.0,150.0
14,Classic Espresso Drinks,Caffè Latte,2% Milk,240.0,9.0,4.5,0.3,35.0,220.0,24.0,0.0,22.0,16.0,0.25,0.2,0.5,0.0,150.0
15,Classic Espresso Drinks,Caffè Latte,Soymilk,190.0,7.0,1.0,0.0,0.0,170.0,16.0,2.0,11.0,13.0,0.2,0.0,0.5,0.25,150.0
16,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,110.0,1.5,1.0,0.0,5.0,60.0,21.0,1.0,17.0,7.0,0.8,0.0,0.15,0.1,85.0
17,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,130.0,4.0,2.0,0.1,10.0,70.0,21.0,1.0,17.0,6.0,0.8,0.0,0.15,0.1,85.0
18,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,110.0,3.5,1.0,0.0,0.0,55.0,19.0,2.0,13.0,6.0,0.6,0.0,0.15,0.2,85.0
19,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,170.0,2.0,1.0,0.0,5.0,100.0,32.0,1.0,27.0,10.0,0.15,0.0,0.25,0.2,95.0
20,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,200.0,6.0,3.5,0.1,20.0,115.0,32.0,1.0,26.0,10.0,0.15,0.0,0.25,0.2,95.0
21,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,180.0,5.0,1.5,0.0,0.0,85.0,28.0,2.0,20.0,9.0,0.1,0.0,0.25,0.3,95.0
22,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,220.0,2.5,1.5,0.0,5.0,125.0,43.0,2.0,34.0,13.0,0.2,0.0,0.35,0.25,175.0
23,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,260.0,8.0,4.5,0.2,25.0,140.0,42.0,2.0,34.0,13.0,0.15,0.2,0.35,0.25,175.0
24,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,230.0,7.0,2.0,0.0,0.0,105.0,37.0,3.0,26.0,11.0,0.1,0.0,0.35,0.4,175.0
25,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti Nonfat Milk,280.0,3.0,2.0,0.0,10.0,160.0,54.0,2.0,44.0,17.0,0.25,0.0,0.45,0.3,180.0
26,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,340.0,11.0,6.0,0.2,30.0,180.0,53.0,2.0,43.0,17.0,0.2,0.2,0.45,0.3,180.0
27,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,290.0,9.0,2.5,0.0,0.0,140.0,47.0,4.0,33.0,14.0,0.15,0.0,0.45,0.5,180.0
